,name,cate_1,cate_2,cate_3,cate_4,station,distance,dong,lon,lat
0,케이에프씨계산동,음식,패스트푸드,패스트푸드,그외 기타 음식점업,계산역,0.451,계산1동,37.5430387488158,126.723014208098
1,진땡이,음식,한식,한식/백반/한정식,한식 음식점업,가정중앙시장역,0.418,가정1동,37.5198136573882,126.673455350846
2,현다방,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,시민공원역,1.492,용현1.4동,37.4510109713498,126.667031417641
3,김가네,음식,분식,라면김밥분식,분식 및 김밥 전문점,모래내시장역,0.662,간석3동,37.4616099874879,126.721099802395
4,남도식당,음식,한식,한식/백반/한정식,한식 음식점업,부평구청역,1.66,산곡1동,37.5102542605693,126.701878873106
5,문전성시,음식,유흥주점,민속주점,기타 주점업,예술회관역,0.277,구월3동,37.4474483451109,126.699054710965
6,옛고을가마솥,음식,한식,한식/백반/한정식,한식 음식점업,개화역,1.553,계양3동,37.5818552403942,126.78100903965
7,통일각,음식,중식,중국음식/중국집,중식 음식점업,작전역,1.024,작전서운동,37.529805050883,126.734112410636
8,황토흙가마구이,음식,한식,갈비/삼겹살,한식 음식점업,도원역,0.608,숭의1.3동,37.4684101205099,126.649596300558
9,롯데리아인천당하점인천당하점,음식,패스트푸드,패스트푸드,그외 기타 음식점업,완정역,0.257,마전동,37.5950975474812,126.672199198462
10,역골가든,음식,한식,한식/백반/한정식,한식 음식점업,계양역,0.779,계양1동,37.5709484328312,126.726816752633
11,롯데마트튀김/구이,음식,패스트푸드,패스트푸드,그외 기타 음식점업,마전역,0.402,마전동,37.5945157370019,126.664554852213
12,신검단생선조림,음식,일식/수산물,갈치/생선구이,한식 음식점업,검단사거리역,0.385,오류왕길동,37.600539069558,126.653066161553
13,제일분식,음식,분식,라면김밥분식,분식 및 김밥 전문점,운연역,0.573,장수서창동,37.4385990636787,126.766171880179
14,전라도막횟집,음식,일식/수산물,횟집,한식 음식점업,동인천역,0.314,송현1.2동,37.4778567267326,126.634253889723
15,용궁중화요리,음식,중식,중국음식/중국집,중식 음식점업,계산역,0.072,계산1동,37.5428526507821,126.727475784904
16,동해춘식당,음식,한식,한식/백반/한정식,한식 음식점업,송도역,1.912,문학동,37.4369100100371,126.676671627308
17,최군맥주,음식,유흥주점,호프/맥주,기타 주점업,예술회관역,0.373,구월3동,37.4473072901546,126.697700998224
18,조은고기파는사람들,음식,한식,갈비/삼겹살,한식 음식점업,인천가좌역,1.174,가좌2동,37.4967960723963,126.68505829632
19,자매식당,음식,한식,한식/백반/한정식,한식 음식점업,가재울역,0.717,가좌4동,37.4788098001848,126.688143535478
20,소문난순대국,음식,별식/퓨전요리,순대전문점,한식 음식점업,송도역,0.724,옥련1동,37.4231201036644,126.653178080744
21,여비서다방,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,도원역,0.775,숭의2동,37.4624999520273,126.647283656742
22,친구처럼,음식,한식,한식/백반/한정식,한식 음식점업,시민공원역,0.493,도화1동,37.4580635163806,126.675620758828
23,소담치킨,음식,닭/오리요리,후라이드/양념치킨,치킨 전문점,삼산체육관역,1.288,삼산1동,37.5179326682806,126.743690654612
24,앗따맘마,음식,한식,한식/백반/한정식,한식 음식점업,석남역,0.601,석남3동,37.5112835011383,126.67850397394
25,윤가마당칼국수,음식,분식,국수/만두/칼국수,분식 및 김밥 전문점,검단사거리역,0.138,검단동,37.6029099156665,126.65791570692
26,뚜레쥬르,음식,제과제빵떡케익,제과점,제과점업,만수역,0.456,만수2동,37.4588855534157,126.730821634248
27,캐미커피,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,작전역,1.674,삼산1동,37.5235909296404,126.739443956774
28,번영회해장국,음식,한식,한식/백반/한정식,한식 음식점업,인하대역,0.985,용현1.4동,37.455070215421,126.657092358185
29,치킨매니아,음식,닭/오리요리,후라이드/양념치킨,치킨 전문점,계양역,0.826,계양1동,37.5788234817073,126.734369748287
30,파리바게뜨,음식,제과제빵떡케익,제과점,제과점업,신연수역,0.411,연수3동,37.4213119285463,126.696027454274
31,인천연수지역자활센터,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,동춘역,0.579,동춘3동,37.4094829593491,126.678329012535
32,대광떡방아간,음식,제과제빵떡케익,떡전문,제과점업,모래내시장역,0.322,구월2동,37.4581186475344,126.721532263352
33,엔젤경양식,음식,양식,정통양식/경양식,서양식 음식점업,시민공원역,0.411,주안1동,37.4594816788626,126.685621602733
34,세종수산,음식,일식/수산물,수산물전문음식점-종합,한식 음식점업,시민공원역,0.917,주안7동,37.4501957394401,126.679489057807
35,파리바게뜨,음식,제과제빵떡케익,제과점,제과점업,원인재역,0.364,연수2동,37.4117920780504,126.683394201766
36,개코막걸리,음식,유흥주점,기타일반유흥주점,일반유흥 주점업,부평시장역,0.444,부평1동,37.4943985849168,126.721931788422
37,고로케쿡,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,연수역,0.074,연수1동,37.4184400041311,126.679199624753
38,동화다방,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,부평삼거리역,0.115,간석3동,37.4766676845424,126.710453251913
39,광주집,음식,한식,한식/백반/한정식,한식 음식점업,도원역,0.363,숭의1.3동,37.4682520635067,126.646806959717
40,문가네생고기부대찌개,음식,한식,부대찌개/섞어찌개,한식 음식점업,백운역,1.227,산곡3동,37.4941323344854,126.703288826067
41,지엔에스올리브떡볶이문학점,음식,분식,떡볶이전문,분식 및 김밥 전문점,문학경기장역,1.119,문학동,37.4367449990235,126.686109771271
