,subwayLocation,lon,lat
0,가능역,37.748577,127.044213
1,가락시장역,37.492522,127.118234
2,가산디지털단지역,37.481072,126.882343
3,가양역,37.561391,126.854456
4,가재울역,37.484192,126.683673
5,가정역,37.524649,126.675539
6,가정중앙시장역,37.517054,126.676672
7,가좌역,37.568491,126.915487
8,가천대역,37.448605,127.126697
9,가평역,37.814536,127.510739
10,간석역,37.464737,126.694181
11,간석오거리역,37.467048,126.707938
12,갈매역,37.634118,127.114757
13,갈산역,37.517268,126.721514
14,강남역,37.497175,127.027926
15,강남구청역,37.517186,127.04128
16,강남대역,37.270161,127.126033
17,강동역,37.535804,127.132481
18,강동구청역,37.530341,127.120508
19,강매역,37.612314,126.843223
20,강변역,37.535095,127.094681
21,강촌역,37.805723,127.634146
22,개롱역,37.498079,127.13482
23,개봉역,37.494594,126.85868
24,개포동역,37.489116,127.06614
25,개화역,37.578608,126.798153
26,개화산역,37.572399,126.806171
27,거여역,37.493105,127.14415
28,건대입구역,37.540693,127.07023
29,검단사거리역,37.60185,126.657108
30,검단오류역,37.594877,126.627178
31,검바위역,37.561405,126.677566
32,검암역,37.569104,126.673728
33,경기광주역,37.399907,127.25263
34,경기도청북부청사역,37.75059,127.071495
35,경마공원역,37.443885,127.007888
36,경복궁역,37.575762,126.97353
37,경인교대입구역,37.538157,126.722597
38,경전철의정부역,37.737202,127.043257
39,경찰병원역,37.495918,127.12454
40,계산역,37.543238,126.728128
41,계양역,37.571462,126.735637
42,고덕역,37.555004,127.154151
43,고려대역,37.590508,127.036296
44,고속터미널역,37.50481,127.004943
45,고잔역,37.316777,126.823249
46,고진역,37.24484,127.214251
47,곡산역,37.645676,126.801762
48,곤제역,37.750471,127.083715
49,곤지암역,37.351315,127.34674
50,공덕역,37.544018,126.951592
51,공릉역,37.625742,127.072896
52,공항시장역,37.563726,126.810678
53,공항화물청사역,37.458366,126.476241
54,과천역,37.433021,126.996568
55,관악역,37.419232,126.908706
56,광교역,37.30211,127.044483
57,광교중앙역,37.288617,127.051478
